Wavelength RP,AAB_AS_I1,AAB_AS_I2,AAB_AS_I3,AAB_AS_I4,AAB_AS_I5
815.55514,5.99006,-30.9348,45.86836,-53.10999,-50.9325
819.9401,34.20088,228.53767,139.52829,-47.93432,25.09356
824.31844,151.95203,4.38969,87.83799,56.09731,42.44952
828.69017,119.38844,35.12452,-3.5996,134.89704,14.14061
833.0553,-29.50731,-84.65233,-61.15608,51.89615,-22.14015
837.41384,-7.01631,-78.61481,-18.21503,3.3554,17.45375
841.76581,102.01217,115.51677,97.56699,85.63876,71.23489
846.11122,27.55634,54.16333,-4.62631,28.84093,-26.03632
850.45006,-36.34566,-39.42563,-19.83159,-55.5344,-21.3029
854.78237,-5.18862,31.63096,47.58086,-33.69637,0.10673
859.10815,29.62642,-19.8703,-29.64753,-52.39103,-32.88874
863.4274,125.8589,21.68026,107.04771,-20.00886,111.87379
867.74015,177.63819,163.25383,270.55529,82.15877,207.87356
872.0464,178.38524,99.41123,219.49132,90.26451,204.52377
876.34617,189.92788,210.14376,140.08804,27.81013,181.24138
880.63946,151.43531,13.3888,86.75543,-14.68323,136.86427
884.92628,176.57116,149.64446,194.99161,29.4597,190.83584
889.20665,162.53175,204.34365,209.54002,45.55887,120.56815
893.48059,-20.63484,2.28998,-19.89279,-45.44413,-52.17014
897.74809,-25.99251,-7.68648,33.62101,28.60615,12.17364
902.00917,107.3627,176.00177,219.7972,126.92854,123.93921
906.26384,86.2178,-37.99057,146.29102,7.9227,72.89774
910.51212,85.51032,65.80933,158.73317,21.03715,25.32162
914.754,82.45602,225.54833,205.74725,119.27721,32.34054
918.98952,-12.13423,-21.72763,48.62379,53.11847,28.72737
923.21867,14.42368,-7.68936,-70.42151,7.62968,4.41928
927.44147,86.6281,-11.77194,-10.31779,-1.38806,-10.77213
931.65793,48.41128,110.12065,144.01895,-43.8291,42.66502
935.86805,-13.12506,67.09205,107.27836,-49.04868,17.03265
940.07186,-15.10617,7.93984,24.98603,-15.23279,-99.91421
944.26936,32.90748,-73.45971,117.7926,9.2109,8.81798
948.46056,26.52926,45.84456,31.39465,-5.55262,113.55639
952.64547,-44.43363,-37.55606,-43.64991,6.9421,-18.81499
956.82411,-43.17013,9.74281,31.85168,92.852,-28.25493
960.99648,42.78813,-107.35068,-0.04276,131.43584,34.73583
965.1626,35.73974,59.2146,18.68033,95.76984,2.72845
969.32248,-36.46078,124.55999,14.15856,130.48537,23.07041
973.47613,58.16946,54.53537,-44.37024,137.47146,92.18436
977.62356,145.06279,183.54537,-19.28373,2.30713,87.57856
981.76478,65.50331,20.65135,20.80522,46.76808,25.16616
985.89979,38.15899,69.12418,27.39241,166.72269,47.57579
990.02863,15.43469,-62.151,-39.92783,3.30204,15.88089
994.15128,-72.98847,-73.26385,-24.49347,-55.5587,-88.37112
998.26777,-61.93335,16.16157,23.80635,-0.21505,-55.52159
1002.37811,24.63041,-5.0649,-0.13247,-15.18139,35.01401
1006.4823,42.57348,76.4848,97.13077,163.95905,162.05214
1010.58036,17.35255,204.20851,184.55532,176.52213,175.48794
1014.6723,7.24156,-94.96069,53.6309,23.56223,23.28356
1018.75813,-31.30885,9.84253,-30.90805,107.36298,73.56188
1022.83786,7.36335,128.11055,110.89502,99.2569,190.03949
1026.9115,88.19825,3.78205,112.17171,4.52282,111.50154
1030.97906,35.09496,10.8617,-15.22987,47.84612,93.17177
1035.04055,21.90668,19.86087,-19.95879,27.87935,115.97568
1039.09599,23.82252,19.58559,-21.85028,-66.36089,-19.13282
1043.14539,-65.82214,50.27297,61.08613,15.02568,-28.40633
1047.18875,-6.84011,-72.37585,102.65402,139.80771,104.82354
1051.22608,117.94896,5.86915,-15.93546,5.50977,37.67005
1055.25741,122.38668,12.0787,6.12593,-29.96856,7.40639
1059.28273,171.97112,146.80351,96.60857,194.6197,150.34725
1063.30206,431.0892,414.9527,241.72299,416.18348,304.32939
1067.31542,819.91667,678.90384,689.39721,750.99974,725.38639
1071.3228,1080.70515,1137.17284,1045.16621,1085.33768,1139.82835
1075.32423,1220.03038,1147.40141,1092.15875,1252.80515,1089.76675
1079.31971,1243.6645,1257.29825,1138.47916,1233.26027,999.2627
1083.30925,908.39045,803.56232,877.95589,913.68785,839.30841
1087.29287,485.31925,409.04927,430.31537,604.90256,415.25509
1091.27058,278.74928,290.49283,229.94705,346.156,214.00494
1095.24238,103.11488,-26.09249,-2.12459,4.28914,144.27265
1099.20829,13.48084,-68.6656,-74.91821,-34.5139,12.08358
1103.16831,8.49023,33.73388,39.94434,42.55897,-20.77244
1107.12247,-23.79452,-40.92769,8.47124,15.51461,-32.12287
1111.07077,100.54758,50.08467,35.13717,109.16796,14.76438
1115.01321,204.7363,24.99412,12.77632,27.67259,19.09516
1118.94982,129.91331,-26.71851,-73.50999,-61.22123,-0.06427
1122.88061,228.66565,59.57616,43.52664,159.16654,181.45414
1126.80557,504.52913,158.41454,224.98435,283.5355,326.46307
1130.72473,738.47454,482.77266,477.84954,470.24252,468.71264
1134.6381,975.69538,812.41599,800.20467,852.76405,750.85732
1138.54568,1170.50019,980.07723,975.79453,964.29599,910.33194
1142.44749,1126.09742,968.18799,933.0623,926.27857,931.48447
1146.34353,806.39629,687.63654,690.60149,842.96112,743.72207
1150.23383,475.88234,370.43723,386.69973,491.33522,351.40626
1154.11838,342.43517,214.59031,182.85755,206.57527,196.43382
