Wavelength,AA_HS_V2S1_H_I1,AA_HS_V2S1_H_I2,AA_HS_V2S1_H_I3,AA_HS_V2S1_H_I4,AA_HS_V2S1_H_I5
341.607051748368,-149.20478961754816,-31.80038810440965,-18.72178925634853,-40.018767356250464,-43.99358145657061
346.713478559644,56.52536574051828,184.51850762949107,162.55260019824254,147.51256454306713,112.45588043382031
351.812079774847,67.70773897626168,316.6875107452224,288.09642427082235,277.3758973849099,261.6601425398112
356.902868441679,206.57991728000434,517.404117208016,315.47778430032304,325.7186185421524,266.1889164303111
361.985857582022,235.33529639181234,342.1965790972663,256.195564192074,81.97982834829236,107.40102330913487
367.061060192113,59.915206020007645,324.8270155373475,167.7869463116822,32.46513978924031,34.05024549901282
372.128489242748,27.73267713831683,221.29510076008864,94.42276559062611,101.02071568265819,80.0684110011689
377.188157679439,41.50469359570343,219.96864375197583,44.66563095596757,-43.26621904434069,101.29154950598695
382.240078422628,-28.85912868142168,190.57269854735205,14.662389732274278,15.537508778725169,86.26544102836942
387.284264367858,-70.32933027872969,29.388182194598812,5.266558174640522,46.13277744645711,26.6961762607516
392.320728385961,59.54543363359062,46.441614768499676,16.52455624497634,30.703074460163407,-4.600873369157853
397.349483323236,171.77779481261678,134.0547685476222,44.43335102658784,43.35082831933869,27.01504399147325
402.370542001641,178.15274186842453,36.88692155715944,91.49949034446672,-85.83134192126181,110.7741453064009
407.383917218962,304.50065018596706,415.7883384826855,151.74577092765958,53.97262541003147,274.7258568764055
412.389621749006,299.620783194292,279.10341529578636,193.54770499231108,211.60528127409634,307.2796615191219
417.387668341767,206.57159151691212,363.05172690819927,204.73083521674744,51.20914116338918,164.76470954610613
422.378069723634,219.87381031421683,333.76118719281203,207.19967963647923,-40.83219891767567,128.55925876522633
427.360838597528,188.35573695171206,146.84351278930262,186.62472162224185,55.83710040182177,208.85780960430657
432.335987643117,176.92082056321033,205.68524682847783,103.92173980977168,80.05602403273679,166.32198160461394
437.30352951697,-14.150463685587056,-49.648766479614096,2.4995625539231696,-103.09218157125088,-19.5038882820254
442.263476852753,-211.40115488994343,-93.49368270321793,-15.244725134850341,-140.28730264414025,-19.946048349844204
447.215842261379,-1.0777880431005542,168.1823293698062,66.19396403852079,26.148653778406697,201.38020686518848
452.16063833121,153.60209282075357,199.70267600475654,158.56203280325917,22.382882536474426,280.5827792488508
457.097877628217,53.76401876946784,-11.650333654510177,196.41521355982422,4.448636869847178,218.64690124067602
462.027572696161,48.27571678642926,149.43679674775285,194.31504802844393,26.59658041138755,192.52955928623123
466.949736056747,36.7065151144252,147.12051395002345,189.50633840522005,-1.7039138884456406,216.64780223549496
471.864380209832,-52.42700259865069,203.60566312509764,205.3145958917312,14.03789566431169,270.7674445495195
476.771517633564,23.749149583890357,32.65536583279936,266.46895388680787,20.31979422752738,283.86689970060525
481.671160784563,150.02775397097776,232.2673462010598,379.8399059399062,209.70072007661565,333.5026877345417
486.563322098102,238.6914035356067,443.67467056161786,489.564326747025,425.805628054567,448.5715091995444
491.44801398826,320.7778335116727,539.4244112296938,509.42545351432636,403.15228198719797,474.8216968013585
496.325248848105,199.65866323382306,260.87183835359974,425.07379559060337,269.6434239716491,427.6110861857751
501.195039049857,21.444783786371772,124.22590612648492,324.98328292066253,121.5936382439977,321.66308331126766
506.057396945054,3.483772327985207,74.95089626929621,298.2918626330202,81.58303056096247,207.7752240931277
510.912334864723,58.70792149666704,20.40450870206405,328.7413022453902,36.26860156429666,288.8795330850244
515.75986511954,67.71805572402809,306.8924181964021,327.75308986578693,40.09793100922707,405.68634313846906
520.6,51.57042765398364,-84.11984996860701,261.65641532680183,92.55474559716185,290.65757614020094
525.432751776587,-0.39408840956275526,68.04237342886972,201.42924106388,7.524916533697251,171.693091854032
530.25813269993,-73.59134869270838,70.34190854273038,221.0370037772027,100.7921572886853,274.63399615809703
535.07615500097,47.631814982381,204.74851174951982,279.35317506762476,310.1344931583535,372.9638844558667
539.88683089113,67.46334188404762,226.24715852022928,266.1891063832818,195.82729018123246,296.5663155959228
544.690172562463,-74.59628849556975,-43.84886990561154,163.45693264466627,17.752250165707665,204.44133702685576
549.486192187827,-61.269955143270636,69.21633078961804,80.70065031707327,-40.526796408759765,132.00923343028626
554.274901921041,-65.46025058932173,-90.81385606457934,98.72194589518858,-56.99551608921047,8.92663137458021
559.056313897046,54.51146708917895,215.69832946395127,149.65773846788397,163.91229297202335,-4.955582912288264
563.83044023207,115.97194686325474,131.37558880120014,116.79358989988123,203.65131422090417,95.26785480319904
568.597293023775,-140.84950611513068,-46.941471220703534,10.380384035638599,-49.60396030734046,38.488516671654
573.356884351433,-158.81162958133882,-64.83389078994423,-47.35009083107252,17.92677715084301,-80.77203859099427
578.109226276072,37.89849778266216,197.69887485817162,0.466026659297313,224.58263282181906,11.450747952573693
582.854330840635,68.03024978816302,262.5210862437816,90.97697317330221,224.63525591383222,101.99877242959337
587.592210070145,5.873855136809652,160.36173317217163,158.22388218805372,155.52101475147265,76.31022250295155
592.322875971848,11.135297352543603,154.4328927330198,191.5132210898646,238.00205109038916,132.49619854564935
597.046340535386,77.47637966875482,245.60137675565693,192.15358099883815,290.43602064400284,104.3727493882061
601.762615732934,72.74284005571644,-48.48218900084339,167.88026869443092,170.87706813934392,17.11805629418177
606.471713519377,72.0527636263887,55.96178230909209,136.70015881970994,245.20374539487966,147.1839747001468
611.173645832439,105.4382385656836,288.2050629562309,95.32367749832702,321.48727706735826,202.87048809712905
615.86842459286,66.08386413399512,52.30852232049983,41.02033700834727,150.47012935551174,17.315052509971792
620.556061704525,21.50581952894754,52.96023651502401,7.939097139967089,53.9661529192922,-44.70268070093607
625.236569054643,-25.416912653946383,34.48722144666408,14.655722319577762,125.59443161995159,37.685212371314265
629.909958513874,-123.78301992460638,56.16741887534954,21.9544740868605,34.25553176659787,-4.013723876856602
634.576241936502,-103.41341719730826,-265.34189208477255,-1.6454877626247253,-85.97779985399393,-43.865762487404936
639.235431160572,-11.483294900351211,54.57694490589074,-20.525941252676603,38.06104757932735,30.91794086802929
643.887538008044,-38.16887394176683,77.4239245936451,15.725878728952011,-17.24156714981791,27.03804909735254
648.532574284945,57.39238746369756,7.5008916209089875,87.29295087167338,18.220422821342254,78.77221607483261
653.170551781512,176.7593556294014,196.1765637810713,119.7933624055504,141.5529458920514,195.12506764636964
657.801482272343,43.68578597661053,-32.66551049305235,85.18273300937835,-51.60594626104057,62.89330703371752
662.42537751656,41.93785594958172,149.73572165586756,32.35385944389509,-32.1836553451094,-12.958805679000761
667.042249257929,172.25898615557617,70.34552154654557,6.959855046037774,47.3547582498536,119.21352658077194
671.652109225031,47.2480750386585,-55.9697715884713,0.9223093104956206,49.844802543074366,39.09499398822618
676.254969131387,-65.0953905285769,47.659677125672715,-4.637991177087315,109.93027382335595,-61.60535059616086
680.85084067563,6.204473909046101,-2.5750320376337186,-4.119663986210071,21.765921255372177,49.5975502488368
685.439735541635,-0.4939713604580902,114.71505092364532,6.908461887784142,-16.852126935553315,59.70949520167596
690.021665398654,-12.538603918439549,-71.56032563763347,10.900266849640957,43.71088300506926,0.9505654542526827
694.59664190148,-10.437650174693772,23.795973471468642,-6.225870156767542,0.7263380474164478,15.05204197809826
699.164676690583,-2.8270561246936268,-87.37318911229795,-21.186742617606342,-92.39764569820318,10.51196574042524
703.725781392252,20.18058638691309,63.57160431200009,14.525282720575433,33.338121909163874,21.971260338304546
708.279967618733,-84.10450666331508,21.66835472756611,113.37053976376728,155.22169851262834,21.093605059546917
712.827246968391,72.1647485721769,60.05244887907429,213.01805563442213,187.46316559536535,24.364992816875656
717.367631025829,294.2306813757741,261.87748723201094,228.29027649282625,246.30644905689223,142.80730121253873
721.901131362036,72.45636245649712,126.09930947710927,144.67244986323067,102.82893571453815,195.7806813607299
726.427759534534,-38.142212306505826,98.66761412822962,33.66709172228275,19.14032561472777,48.43232459763749
730.947527087521,15.995521224660479,42.38129545184802,-27.16909726929589,-3.5605508255171117,-85.20015457711634
735.460445551995,-54.146129235411536,-91.81594808202726,-22.955461971933346,-52.52269078777681,-63.932326514447595
739.966526445907,-15.470002630040653,-17.714609759357245,6.558849862608895,21.97634306461441,8.446635107479324
744.465781274295,46.66985995891628,76.99927606404071,19.305378770129664,-0.32878944855110603,35.144927870503125
748.958221529427,39.755063943377536,-32.9632950670366,9.925164475303973,5.756732012868724,4.799107932347852
753.443858690935,5.029429639345835,-48.83151274279953,0.975092323415538,75.02599931401937,-13.570611116033433
757.922704225946,-15.283612198478295,14.82302042508718,6.581704560347589,53.944367178302855,33.22675400876096
762.394769589238,23.222734473632954,45.449668201622444,17.14001728231551,45.73786410567618,26.900764264829377
766.860066223351,-46.34611138522541,-88.85053858067795,13.223777119847,-36.31052629165379,-22.56835356611964
771.318605558747,-90.02935660617186,75.21938406621166,-10.083396322401313,-85.6925787937339,35.7010873173117
775.770399013933,-15.602049980810989,-39.47597762368878,-25.145064793619895,-4.810830231572709,64.1936807049351
780.21545799559,27.172886978929455,23.791838406937586,7.287664717603548,-0.3859462917066594,18.212052165873047
784.653793898731,128.63939265488807,4.020074297205156,81.17778554451615,72.8816134763074,133.59934069714336
789.085418106808,141.7963141960763,124.56289950612609,135.13533555055665,157.8749240420043,263.8413809386366
793.510341991867,60.60850686202866,-62.390969764452166,125.70267621102721,23.40466088153289,131.04152853482265
797.928576914661,31.773080832154847,-52.24987802597843,81.14307997568494,-44.21751471970856,-48.04085121483104
802.340134224803,-23.4127931090743,41.66918234919058,57.42093117565946,29.43100333969096,12.881287921928106
806.745025260889,46.074414945819626,62.423321072499675,74.008540316172,30.01343235061813,176.02216764899003
811.143261350629,129.66605973444257,16.118155099978594,115.66039281966277,-32.4757064092546,198.63961251212595
815.534853810983,150.62424387802548,-6.987869774268347,162.11546303259001,-2.551685264541902,155.34302683337137
819.919813948281,131.94160894603738,185.4287029771699,190.08859255289235,53.91297542365737,183.76849740878697
824.298153058375,-37.86931049052146,27.909109313255158,170.2092270606031,31.740735782919728,228.6036571861896
828.669882426744,-7.754849265859775,51.17449602522811,96.21647136836509,25.53444819748529,209.9872759106829
833.035013328641,69.64969345917598,22.497076868136446,14.961060449636989,-35.3493179611246,122.32679654767844
837.39355702922,-27.61048136576892,-17.16221643507606,-11.314193569690815,-7.149101286261612,78.62966987619211
841.745524783661,21.24641546588191,-6.880595443843504,19.00730141669601,62.027199279015804,115.5390167295991
846.090927837295,4.5845536548481505,36.14921858670141,47.45123486902048,-77.25122594772574,83.6644685712854
850.429777425745,-98.09601265857236,-105.12258447755676,31.258439408672984,-38.624026622171186,-9.543732906653076
854.76208477504,-83.61805398184197,-24.955247503668943,-11.927800564436893,54.911444641324124,-37.271750095985226
859.087861101756,-45.111194452938435,-58.51790595889224,-30.100548847949995,-82.79521177384822,14.105941705197438
863.407117613122,46.84748281621478,113.26528800362712,5.144714209483482,-0.2040232638469206,117.70852374576543
867.719865507168,67.74757710357062,163.59667061483879,70.92243960260248,133.7980595766603,139.62527356063265
872.026115972843,4.776043534690871,5.1441817503177845,131.1403252205032,2.777309821331073,21.243424550008513
876.325880190136,-17.49305084062962,62.242744092452995,176.45264503990256,-0.2854356931752591,-22.61886066851821
880.61916933021,-4.6194934910759,196.18271109046373,205.4269524293959,112.59507018820568,58.36316444389604
884.905994555518,97.08691920462707,168.74149136290043,209.22752493408007,118.85974896666175,123.80884422343615
889.186367019936,67.99657574288267,116.18294782745807,193.86806159775597,46.15550622817091,126.09281865270077
893.460297868878,-45.481276396933026,204.4880728235371,175.03573714221238,35.814859952593,92.52195114501228
897.727798239428,65.84850637082445,197.97290550832713,155.87482729138492,224.70821894285018,96.93956337838245
901.988879260458,28.04102447920104,203.2954198083462,152.10516526276388,136.2409873241304,32.449250443726214
906.243552052754,-85.31200689855814,-25.21345491223974,198.40863725796225,-66.6193559311987,-16.19741771875988
910.49182772914,201.49917771086257,289.3690225368541,278.15436509879555,219.60491166762085,226.73732313879964
914.733717394587,296.72106498056974,307.7814679248736,309.8885935227536,344.59339373871444,338.7886880397082
918.969232146357,52.152964354570486,190.16627191677253,250.50282962103392,95.9025850464891,115.69261646232326
923.198383074105,48.701685212899974,163.2143065091086,143.60183599093125,31.35414003402957,31.69202887586289
927.42118126001,12.991989357289185,52.99911646909959,49.51498366365513,-6.307014509096007,6.263297134893037
931.637637778889,-94.16316338013121,-41.339776474273094,-6.4188457299242145,-62.24231566545677,-36.039561049637996
935.847763698332,-38.83106622241394,10.716708437367288,-19.696388196618955,24.258064533458764,77.37320091917945
940.051570078795,-51.258375012385386,11.958515126166276,11.034648337918497,28.97902658332032,82.92096764358621
944.249067973753,33.25972177894437,8.33177237422251,72.48099369753254,46.37656103557674,26.726015169989296
948.440268429789,137.8221813727173,172.70538782443327,117.9413333893117,97.35205713824416,126.19434920631556
952.625182486727,34.11198329992567,-29.433039787309554,100.92978451771341,17.44440234184958,148.4795197464582
956.803821177758,-6.611405137201473,114.75023416369595,38.873377802079176,-77.37015155596373,19.697653887205888
960.976195529536,-14.507604251875819,-33.42698103383964,-0.7957941155787012,-84.65364241313,-60.66975505984692
965.142316562322,-19.45060230065519,141.6291394182058,14.522272127290762,22.573723420797705,-28.514062525875943
969.302195290074,49.65440051232963,117.6415230734392,52.17404843957547,40.41031211365225,60.57911002709807
973.45584272059,91.83412451981576,-21.197865942480803,68.85040254627393,60.463784302569366,145.43731416623132
977.603269855603,76.76998912130239,188.15610688387642,58.56738467998048,126.92133378298831,135.58265501601
981.744487690916,3.3243016660794638,111.45139931227186,40.06963808063483,5.333018944133983,49.70693404459598
985.879507216503,-34.2320523176536,80.78890829129796,20.926655541892615,-39.207359290889144,20.44772628662531
990.008339416632,-62.14621907875335,14.14134688834929,-1.0743426549624928,-0.010335984683479182,21.714943063078408
994.130995269981,-44.124913269699846,-44.132738076730675,3.1627211179957158,-32.595597107775575,-3.3783585685973776
998.247485749745,74.07113463624364,62.88163233005025,80.40128896403485,52.3787197942288,25.019851336894135
1002.35782182376,109.24740851287288,239.10634859098172,199.8009642177226,173.6722641811907,148.62041827096618
1006.46201445462,163.365564912855,317.60092875066175,245.55545956902915,208.20850166353557,223.39386798060696
1010.56007459976,185.6716163270512,179.67097277729,168.81403913275153,189.12061937111412,108.22723976715679
1014.65201321163,18.35430838004413,39.94193450968078,69.14303361716202,35.5758177803109,15.094789378033965
1018.73784123775,-17.44953152805965,-79.86779674961781,53.206637534903166,-24.549161320164785,137.81090755864943
1022.81756962084,49.43946590927453,8.664509309904588,89.41032879612112,136.30348268732996,223.06193589839313
1026.89120929895,21.784700773242548,120.45858026501992,80.1850571421437,102.22738037345835,120.19739261530731
1030.95877120555,-10.335817150044477,-28.576709591190138,14.892213612474734,-26.648024326403174,10.330014078799195
1035.02026626968,-96.34028724478912,29.771283410671458,-30.115370499080655,26.05206297793393,-35.16084226269959
