Wavelength,HS_V2S3_AAB_C1_S4_I1,HS_V2S3_AAB_C1_S4_I2
351.7692476,64.69347844,-1.966157014
352.902517,58.2789429,7.913067527
354.0355789,52.23805045,17.49123861
355.1684331,46.57080108,26.76835623
356.3010798,41.2771948,35.74442038
357.4335191,36.35723161,44.41943108
358.5657509,31.81091151,52.79338831
359.6977753,27.6382345,60.86629208
360.8295924,23.83920057,68.63814239
361.9612023,20.41380973,76.10893924
363.0926049,17.36206197,83.27868263
364.2238004,14.68395731,90.14737256
365.3547887,12.37949573,96.71500902
366.48557,13.84157284,102.9207303
367.6161443,11.25296744,108.1316167
368.7465116,6.370542934,113.1622191
369.876672,2.348425143,119.0514956
371.0066255,1.629215508,126.4868778
372.1363723,4.555451355,135.4349287
373.2659122,9.88494119,145.2076091
374.3952455,16.52302492,154.8450711
375.5243721,24.39329041,163.5213153
376.6532921,33.70884892,170.7900748
377.7820055,43.98711355,176.6382823
378.9105124,54.12470752,181.3680329
380.0388129,63.29708293,185.3566027
381.166907,71.56453832,188.7813623
382.2947947,79.44443599,191.3994037
383.4224761,86.78764496,192.4529266
384.5499513,92.19236197,190.7787664
385.6772202,93.86659591,185.1630535
386.8042831,91.13851257,174.8267914
387.9311398,84.85168793,159.7951887
389.0577904,76.36684562,140.9883403
390.1842351,66.70932774,120.0307307
391.3104739,56.78023427,98.88825358
392.4365067,47.71859977,79.44259474
393.5623337,40.56640563,63.11288794
394.6879549,35.68868818,50.63901793
395.8133703,32.68518972,42.07111208
396.9385801,30.90979986,36.91333259
398.0635842,30.23979201,34.34587682
399.1883827,31.51343988,33.46064384
400.3129757,36.15995766,33.44607702
401.4373632,44.96213694,33.68185382
402.5615452,56.67520472,33.7629159
403.6855219,68.02690905,33.51147565
404.8092932,75.7437539,32.98652296
405.9328592,78.83175676,32.42750479
407.05622,78.84755402,32.08210547
408.1793756,78.07008643,31.98633977
409.3023261,77.44944197,31.84305901
410.4250715,76.06381848,31.09201315
411.5476118,72.33898585,29.16426201
412.6699472,65.88394028,25.81516099
413.7920776,58.1797169,21.33659897
414.9140032,51.37340758,16.47337999
416.0357239,46.54673168,12.08596903
417.1572398,43.47658974,8.782958599
418.278551,41.87907405,6.736403531
419.3996575,42.27395113,5.727092271
420.5205593,45.42065819,5.338464649
421.6412566,51.13720037,5.186766502
422.7617494,58.01342463,5.085610344
423.8820376,64.50689809,5.076954043
425.0021215,70.14567242,5.316267934
426.1220009,75.37488103,5.900542349
427.241676,80.42594595,6.78108486
428.3611469,84.56658721,7.815878692
429.4804135,86.42924448,8.890385916
430.5994759,85.1015803,10.00725362
431.7183342,80.94807766,11.27540299
432.8369884,75.41168463,12.80148039
433.9554385,70.1434893,14.55964451
435.0736847,66.06961642,16.32270521
436.191727,62.79483683,17.6991162
437.3095654,58.872683,18.28682847
438.4271999,53.05468902,17.89765539
439.5446307,45.60599124,16.70866165
440.6618577,38.29083136,15.20664454
441.778881,32.81278126,13.94653832
442.8957007,29.43317068,13.31761811
444.0123169,27.34362322,13.49347878
445.1287295,26.02278265,14.54395375
446.2449386,25.62169579,16.57221403
447.3609443,26.12800841,19.77855219
448.4767466,26.73881918,24.42102939
449.5923455,26.43522984,30.69205848
450.7077412,25.13406525,38.60142301
451.8229337,23.9840456,47.95234044
