Wavelength,HS_V2S2_AAB_C2_I1,HS_V2S2_AAB_C2_I2,HS_V2S2_AAB_C2_I3
351.7692476,37.25930588,39.94362629,3.593207552
352.902517,34.02531815,36.38981812,8.541067102
354.0355789,31.02485519,33.14763709,13.34697817
355.1684331,28.257917,30.2170832,18.01094076
356.3010798,25.72450357,27.59815645,22.53295486
357.4335191,23.42461491,25.29085685,26.91302049
358.5657509,21.35825102,23.29518438,31.15113763
359.6977753,19.5254119,21.61113906,35.24730629
360.8295924,17.92609754,20.23872087,39.20152647
361.9612023,16.56030795,19.17792983,43.01379816
363.0926049,15.42804313,18.42876592,46.68412138
364.2238004,14.52930308,17.99122916,50.21249611
365.3547887,13.8640878,17.86531954,53.59892237
366.48557,14.5357967,15.0822955,57.53189499
367.6161443,12.65131014,11.3590466,60.90671504
368.7465116,7.62526052,10.70700227,63.91165105
369.876672,6.014944462,15.97165576,66.85770339
371.0066255,12.61955838,25.86169093,70.07518658
372.1363723,22.06263448,34.95202948,73.81770772
373.2659122,27.56776768,39.78975715,78.20962398
374.3952455,30.18897378,43.18105259,83.23300219
375.5243721,33.15311574,49.66013698,88.73479707
376.6532921,36.13228122,59.40282516,94.4482733
377.7820055,38.67725439,68.94368873,100.0338199
378.9105124,41.47385751,75.62341733,105.1336893
380.0388129,43.33986259,79.48536308,109.4187284
381.166907,42.7574407,82.13981905,112.6015837
382.2947947,41.30611762,85.12334803,114.4096652
383.4224761,40.59465974,88.5069496,114.5464995
384.5499513,38.61305205,90.4571514,112.6912885
385.6772202,34.89164698,89.48066777,108.5629222
386.8042831,34.36035723,86.47284304,102.0228974
387.9311398,38.3269483,82.42701642,93.16495797
389.0577904,38.0986413,75.77462487,82.35598244
390.1842351,27.42249399,64.72074422,70.21264976
391.3104739,13.69060563,51.23702562,57.51883143
392.4365067,6.50884009,40.51275988,45.10534809
393.5623337,4.369468594,36.26083861,33.72931448
394.6879549,2.437410428,37.59317223,23.98663942
395.8133703,2.58810313,40.77123876,16.26618367
396.9385801,6.862885417,43.100511,10.73386524
398.0635842,11.08479008,44.70209499,7.337584902
399.1883827,11.12121564,47.39012245,5.831812688
400.3129757,8.515708066,53.04713198,5.817387286
401.4373632,7.586158603,62.4076453,6.789335479
402.5615452,10.33419282,73.31303663,8.195690407
403.6855219,14.37308111,81.04293263,9.519309345
404.8092932,15.32939569,82.7818774,10.3743363
405.9328592,11.40587527,80.34241776,10.57760213
407.05622,5.070575346,76.87163745,10.15732129
408.1793756,-0.016391766,73.49077014,9.303702605
409.3023261,-2.707908193,70.22885842,8.301145167
410.4250715,-3.340233901,67.03296044,7.478918654
411.5476118,-0.841571459,62.73182186,7.191192355
412.6699472,5.167943352,55.84658726,7.811361183
413.7920776,10.54273506,47.23669211,9.713855827
414.9140032,9.315472133,39.90746506,13.22733386
416.0357239,1.391800416,36.12394531,18.56860677
417.1572398,-5.472862431,35.91056716,25.78086079
418.278551,-4.444158558,38.16323647,34.70226917
419.3996575,2.741571496,42.70807141,44.97653384
420.5205593,10.83595251,50.21714372,56.10462128
421.6412566,18.26520723,59.11920889,67.52422116
422.7617494,24.88888601,65.27608969,78.69185359
423.8820376,29.80164934,67.40291177,89.13774526
425.0021215,33.96676879,69.68789028,98.47505854
426.1220009,39.23833257,76.23140187,106.3744237
