Wavelength,AAB_4 ATP_10^-3M_750_5_5_M_S1_I1,AAB_4 ATP_10^-3M_750_5_5_M_S1_I2,AAB_4 ATP_10^-3M_750_5_5_M_S1_I3,AAB_4 ATP_10^-3M_750_5_5_M_S1_I4,AAB_4 ATP_10^-3M_750_5_5_M_S1_I5
342.006421819617,-13.13045057131865,-9.820011537058054,-9.043731365482678,-9.447397298807143,-14.628034122871238
347.112848630893,47.012629499379514,33.784970297951574,58.25988215107425,55.886583138599256,47.18363013851724
352.211449846096,78.29965245737375,55.58657795580679,30.67559191187432,34.72619870341364,81.54865127703556
357.302238512928,65.01914821366536,45.31907717717297,55.46638071217347,53.87569798320906,71.08101447548506
362.385227653271,16.246697526106622,-16.227912181307765,-0.9543790989947318,-0.6162138487470941,21.128537874378786
367.460430263362,-32.03263138873011,-105.60497928653741,-112.43236992240601,-109.95872630067522,-31.964119242230495
372.527859313997,-36.71786830729404,-142.52132341454262,-138.22029164142543,-140.81868775617903,-39.44237236008833
377.587527750688,19.268688946853942,-86.85476952696882,-101.80941668498913,-98.88571456757583,19.81456626180548
382.639448493877,111.28579970919782,5.769099122042194,20.67063072764062,21.51016605463377,119.00942789293258
387.683634439107,192.20416737830257,62.777043902561644,66.44130988081007,64.16998789112016,206.12205845368555
392.72009845721,229.58221911373397,85.9714896379164,33.09081448432701,35.87977260875072,245.48649222815516
397.748853394485,227.6306715713032,92.7501503503717,90.94555659577003,89.82975904083774,239.0843041463207
402.76991207289,223.48351562832974,70.39189543399326,64.40010748520349,62.11769919183562,225.05700530609624
407.783287290211,259.32724185440316,70.12276454166555,-13.651783850151627,-11.770732725269406,255.24975253262102
412.788991820255,337.01336191830103,170.80499321400737,117.13491625126619,115.76709660823425,341.8975084137592
417.787038413016,396.1744067330684,316.65162219220383,273.7201809754416,270.6621957363281,419.1175063120818
422.777439794883,359.23743491778686,350.1555090079561,240.11533973430338,241.91191968998757,389.6837331573353
427.760208668777,212.6380697143489,190.95621507304799,112.49026519221356,112.63404515296554,229.15677608195725
432.735357714366,37.75931784229135,-57.384341769178775,-124.57153565152188,-128.19074083021044,32.82316289007355
437.702899588219,-52.42747465111984,-160.04981714072878,-330.66561557602773,-328.95961885675626,-61.39074577220498
