Wavelength,AAB_Blank_I1,AAB_Blank_I2,AAB_Blank_I3,AAB_Blank_I4,AAB_Blank_I5,AAB_Blank_I6,AAB_Blank_I7,AAB_Blank_I8,AAB_Blank_I9,AAB_Blank_I10,AAB_Blank_I11,AAB_Blank_I12,AAB_Blank_I13,AAB_Blank_I14,AAB_Blank_I15
341.6070517,11.367515021739091,-7.062628508515842,21.80286542900165,18.59151042734871,-0.020896460679921347,33.730550594737664,-11.788656991001389,-0.021972573073587576,63.696058284462524,-0.006328889124645798,-20.25140985029069,52.95853977491115,35.588079527399856,-13.438749330436707,-3.72622147140264
346.7134786,-27.733335461519104,2.4544397378923453,-114.40090928069432,-96.30906183032113,18.48803075986976,-104.78595051770571,18.48462390541073,12.879389611062336,-97.755599498758,15.462161578332738,-64.55219795302698,-79.34589754445307,1.8248963340868585,17.86785064012132,-1.33203587125905
351.8120798,-42.896877643850864,14.898803215446497,67.17238092786054,10.87092298273177,36.040740205342196,65.3994286065979,43.83363273095732,24.924125428348,-57.51951025826597,30.420122396108003,35.75926201347981,-52.13406416838906,-1.1725033942294374,57.48853854260487,0.22723615593405455
356.9028684,-15.349241761448866,40.05092445397837,-88.70779459173689,-41.080528926383685,52.17420607601568,-70.19328695251667,74.45798421326579,35.87287003286293,8.339945024589273,44.43039457826181,0.6133366889627645,-49.990337384440906,43.52529735232534,109.49695639796934,1.0873993045704964
361.9858576,56.83901888413459,90.12520245658642,-7.171697422331825,4.082196378855755,66.51765570469503,6.408660197144762,132.18025274950475,45.53874092619509,7.36480129277075,57.13325722302125,31.36614920570675,-4.729861912220493,126.61801706725382,167.32430621884103,1.3842265907232942
367.0610602,138.75012202537403,160.04049884691415,117.22811589635269,102.34247818719432,78.82326822192093,176.47589653533464,214.1587284082213,53.81086244786336,10.54029808650975,68.27780155323205,192.16208533503067,37.932569096678876,212.57789084341488,211.7787343098734,1.2489334688891347
372.1284892,172.8855278062541,216.08851216872648,74.55218446341257,24.36637814275224,88.98757216101902,85.24160250794803,275.6565069236731,60.67775621825533,86.01123671725401,77.75100524055787,207.62588430084503,80.84738923978063,263.2217549673251,222.97089846236716,0.8197992324200882
377.1881577,133.612498537569,219.7131927529447,200.87587446752642,56.86750510911948,97.06157993570427,172.2221133216492,268.3972354569651,66.24155037579591,175.30328317724326,85.5973053660188,160.87170496787618,188.90185948422032,263.43629570301965,197.05660042668558,0.259988418680706
382.2400784,53.63413678345,169.30689957564556,-1.795047313197216,65.61171953749316,103.24450314746815,57.202582312320835,194.54385050990152,70.71512860593207,100.39689290759503,92.01912390290096,106.01369525237071,117.89962620244523,222.2826176187736,151.4564692144035,-0.23187654311189476
387.2842644,-10.380893354893818,110.70135003168286,-50.561151671405774,-13.53096017953839,107.85598568394704,-26.260914739705186,120.68605795820969,74.39946626682357,-57.199319764061805,97.35053903670214,18.807393189142623,9.169377966769346,161.01791970508276,116.27346954911077,-0.42780903475839693
392.3207284,-26.309406416551987,95.98639132973743,69.8329897335149,-46.41002283139708,111.28809043745613,153.12126390121216,123.99679926889542,77.64395374436869,-88.45733513582536,102.00480527564244,-37.1263411673591,7.85656659581722,104.74439785152366,114.9286390430839,-0.09470177682753445
397.3494833,5.337602472855695,130.88135010360736,-6.695126858196623,-67.02672883141834,113.94664531930411,32.35629387042853,206.73559559800844,80.79774704576323,3.5854615998840984,106.40668621143878,3.7060536296896647,-22.829342475510337,70.63640108598214,140.74142752843676,0.9692381020538647
402.370542,54.523509621413844,164.04540675923062,184.4302746781743,59.691752699922496,116.19546800869315,59.495565096907086,273.69307830580334,84.16140739540188,107.37072880698096,110.92436386568949,187.76983293890012,69.58159063316612,53.232827561328534,151.95920997014863,2.893900492918334
407.3839172,62.38762266765412,134.7508742217121,169.75985273699038,150.64702039984758,118.31315898613184,193.72167484089448,225.03219191159172,87.94418161092901,83.60680467281098,115.81285656535736,257.3546087037028,159.27045733229744,31.06553397737256,107.19150334485933,5.69558848261039
