Wavelength,BC_4 ATP_10^-3M_750_5_5_M_S3_I1,BC_4 ATP_10^-3M_750_5_5_M_S3_I2,BC_4 ATP_10^-3M_750_5_5_M_S3_I3,BC_4 ATP_10^-3M_750_5_5_M_S3_I4,BC_4 ATP_10^-3M_750_5_5_M_S3_I5
342.006421819617,38.668253647033744,160.44132698599304,173.58176515554914,34.11083270568804,47.95221072101123
347.112848630893,24.175720771515024,51.07989291825091,121.91176222732363,74.7347274478071,21.343510782397406
352.211449846096,-63.516295469979966,29.039547450035073,61.752715375177296,-26.30090816584608,3.4417678865769474
357.302238512928,-99.68865263600685,-92.24261275166921,8.48928328959984,-135.83373422905606,0.20695104457679303
362.385227653271,0.9708400076228969,-142.96750783684996,-12.304306351184202,-34.27560726418588,13.925526975001667
367.460430263362,55.00144641665278,-8.433961437376205,12.29737711692119,24.26449243334646,41.89444189850618
372.527859313997,18.457293311798715,73.75995479720429,83.69698567176965,20.373899770510747,76.63923538523566
377.587527750688,61.12054929762067,64.02828548287192,185.1487112434273,244.02469881006985,107.9534386922825
382.639448493877,150.55677913711932,54.57514828930273,265.3530747764897,354.08826917030694,126.17083784971045
387.683634439107,166.10971004309948,39.61573031176222,271.7881835700523,162.6535939314948,125.47201611665241
392.72009845721,101.19605316791488,8.73765428008474,212.42207802318788,44.37831066994716,105.75486536645718
397.748853394485,41.16296284384115,19.336610591860275,143.8772823853667,74.27130170406787,72.44466673828269
402.76991207289,46.791438461386484,46.88877541377481,95.02497426072928,73.20221673064253,34.87627346781796
407.783287290211,8.283118756063246,-14.996898391183548,48.04688343029672,-24.53922905828827,3.945299160305698
412.788991820255,-90.16769840644463,-94.88620164145543,-4.361763834829972,-118.34473760340057,-10.88570382092865
417.787038413016,-105.92550303970864,-94.88064902156582,-31.487818896637236,-88.90952588003222,-4.815233919535942
422.777439794883,-51.674551080121944,-25.543801584367614,3.7396251453804723,-8.550578320911352,20.567139414392873
427.760208668777,10.002551854335607,46.78886612978002,113.10143496432818,-1.3141247432298684,57.731507969037196
432.735357714366,142.96116683097674,113.60202838723721,262.39297921016174,61.581034977226864,95.81077757517517
437.702899588219,307.5375121052759,284.2527158250645,364.8737543257263,284.7069126816132,124.20310554956453
