file,type,concentration_M,concentration_label,replicate,accumulation,peak_392.32_height,peak_1078.5_height,peak_1589.62_height
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1nM_rep3_acc2.csv,sample,1e-09,1nM,3,2,4284.672045687472,3214.009632476572,1812.9775417303038
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1nM_rep3_acc3.csv,sample,1e-09,1nM,3,3,3998.719824784811,3235.514412079637,1707.8813894747368
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1nM_rep3_acc4.csv,sample,1e-09,1nM,3,4,4099.148517278545,3201.0156443958135,1737.9249385308888
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1nM_rep3_acc5.csv,sample,1e-09,1nM,3,5,4021.9401512985987,3260.3614657318626,1772.1007033491285
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100pM_rep1_acc1.csv,sample,1e-10,100pM,1,1,2117.3696125569277,2232.0902003914084,1085.0258234752473
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100pM_rep1_acc2.csv,sample,1e-10,100pM,1,2,2204.5470433961186,2221.0857557348513,1272.4657486999545
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100pM_rep1_acc3.csv,sample,1e-10,100pM,1,3,2175.890512430799,2204.8245645785446,1497.664028755114
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100pM_rep1_acc4.csv,sample,1e-10,100pM,1,4,1944.0238865075296,2073.3026057708903,1328.4008652603873
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100pM_rep1_acc5.csv,sample,1e-10,100pM,1,5,1938.6074618214068,2062.0987037297855,1276.83650647998
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100pM_rep2_acc1.csv,sample,1e-10,100pM,2,1,4579.296368401813,3157.211468576614,1596.554642528187
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100pM_rep2_acc2.csv,sample,1e-10,100pM,2,2,4704.055990059483,2980.653666674087,1589.5037017416319
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100pM_rep2_acc3.csv,sample,1e-10,100pM,2,3,4404.569575763761,3540.4494166256486,1874.4513612945186
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100pM_rep2_acc4.csv,sample,1e-10,100pM,2,4,5190.029983186992,3058.26486651354,1763.3369437579302
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100pM_rep2_acc5.csv,sample,1e-10,100pM,2,5,4193.792326304789,3121.7184457371586,1647.0807239932524
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100pM_rep3_acc1.csv,sample,1e-10,100pM,3,1,952.8748067691413,1503.1502261361702,862.0817425219628
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100pM_rep3_acc2.csv,sample,1e-10,100pM,3,2,731.5532415741691,1481.5434218355595,1043.7752871243943
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100pM_rep3_acc3.csv,sample,1e-10,100pM,3,3,798.337928820842,1444.4611069028472,747.7665906422919
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100pM_rep3_acc4.csv,sample,1e-10,100pM,3,4,889.8179882714792,1383.0425907455374,837.2401382863857
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100pM_rep3_acc5.csv,sample,1e-10,100pM,3,5,805.2394256884836,1260.309617096293,698.1504287912156
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10pM_rep1_acc1.csv,sample,1e-11,10pM,1,1,1562.7745153545293,1432.4584975110504,874.3365192097034
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10pM_rep1_acc2.csv,sample,1e-11,10pM,1,2,1689.6647617639105,1515.6054680447617,898.1815288308918
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10pM_rep1_acc3.csv,sample,1e-11,10pM,1,3,1920.0166430006134,1886.693984173131,1189.0196625828776
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10pM_rep1_acc4.csv,sample,1e-11,10pM,1,4,1784.3927218660851,1781.9989963272412,972.4161194705217
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10pM_rep1_acc5.csv,sample,1e-11,10pM,1,5,1670.5747026196047,1768.7818247512087,1012.7192337715929
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10pM_rep2_acc1.csv,sample,1e-11,10pM,2,1,4446.50097878663,3530.7862762572036,1871.7823954937553
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10pM_rep2_acc2.csv,sample,1e-11,10pM,2,2,4119.341745433725,3199.1138167362983,1797.8889713632473
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10pM_rep2_acc3.csv,sample,1e-11,10pM,2,3,3774.5798894110103,3082.0146435160646,1860.4326808779717
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10pM_rep2_acc4.csv,sample,1e-11,10pM,2,4,3525.322642808431,2805.6955989238736,1577.6380594873006
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10pM_rep2_acc5.csv,sample,1e-11,10pM,2,5,3697.4408800918745,2468.856038548832,1471.5134016804757
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10pM_rep3_acc1.csv,sample,1e-11,10pM,3,1,2067.386989986139,2175.2885482207075,1165.3022992500219
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10pM_rep3_acc2.csv,sample,1e-11,10pM,3,2,1621.879355071891,2067.3610063348606,1309.9678002686094
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10pM_rep3_acc3.csv,sample,1e-11,10pM,3,3,1686.5458007341913,2006.3686811511268,1019.3077126526238
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10pM_rep3_acc4.csv,sample,1e-11,10pM,3,4,1626.8682894393573,1966.9469655857686,1405.1644753780977
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10pM_rep3_acc5.csv,sample,1e-11,10pM,3,5,1625.0505344055443,1971.1826193615555,1261.4909913271472
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1pM_rep1_acc1.csv,sample,1e-12,1pM,1,1,3934.933333147443,3294.5414419397766,1536.0238761495816
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1pM_rep1_acc2.csv,sample,1e-12,1pM,1,2,3795.6340128964835,3396.2952903242185,1656.0127204337748
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1pM_rep1_acc3.csv,sample,1e-12,1pM,1,3,3130.376781275549,3200.8535218717143,1565.9755321682337
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1pM_rep1_acc4.csv,sample,1e-12,1pM,1,4,2874.3299934907977,3014.480474906517,1435.6791128947757
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1pM_rep1_acc5.csv,sample,1e-12,1pM,1,5,2480.864131798605,2915.347622450845,1647.273874586077
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1pM_rep2_acc1.csv,sample,1e-12,1pM,2,1,3909.39118695883,3231.3871409683916,1928.7506990088646
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1pM_rep2_acc2.csv,sample,1e-12,1pM,2,2,3717.4129364102123,3184.9806314822954,1818.650396373739
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1pM_rep2_acc3.csv,sample,1e-12,1pM,2,3,3862.519758094821,3320.355981652213,1908.132515684082
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1pM_rep2_acc4.csv,sample,1e-12,1pM,2,4,3404.3033127493004,2822.795520705086,1656.1028108857126
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1pM_rep2_acc5.csv,sample,1e-12,1pM,2,5,3320.5735301338646,3002.359070329349,1752.1515916322153
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1pM_rep3_acc1.csv,sample,1e-12,1pM,3,1,2197.2457096422722,2341.926759030117,1207.5867658302411
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1pM_rep3_acc2.csv,sample,1e-12,1pM,3,2,2216.7173597976307,2011.8764297342873,1149.4643317793607
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1pM_rep3_acc3.csv,sample,1e-12,1pM,3,3,2035.212033815921,2200.3511307129493,1272.6539434169072
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1pM_rep3_acc4.csv,sample,1e-12,1pM,3,4,2390.080268042806,2358.7217595407064,1484.9682619278858
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1pM_rep3_acc5.csv,sample,1e-12,1pM,3,5,2176.973552224718,2020.6242957747563,1222.352315637778
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100fM_rep1_acc1.csv,sample,1e-13,100fM,1,1,1940.1290529592927,1522.8418055677805,853.7863142063195
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100fM_rep1_acc2.csv,sample,1e-13,100fM,1,2,1827.5441714866529,1433.7522155250608,822.2394152081004
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100fM_rep1_acc3.csv,sample,1e-13,100fM,1,3,1870.4731342530026,1482.2856423615658,899.6885938661095
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100fM_rep1_acc4.csv,sample,1e-13,100fM,1,4,1744.5429847257572,1553.2782943619984,824.9763457376075
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100fM_rep1_acc5.csv,sample,1e-13,100fM,1,5,1808.445401316184,1429.15673500088,682.8506718390041
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100fM_rep2_acc1.csv,sample,1e-13,100fM,2,1,1753.941676422637,1292.3773846212669,835.1925496864984
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100fM_rep2_acc2.csv,sample,1e-13,100fM,2,2,1580.609526095848,1324.1381818299883,706.6331033735819
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100fM_rep2_acc3.csv,sample,1e-13,100fM,2,3,1777.1114904468654,1316.4276608491273,745.676250059694
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100fM_rep2_acc4.csv,sample,1e-13,100fM,2,4,1884.6758081030466,1609.690465349744,984.5424318493706
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100fM_rep2_acc5.csv,sample,1e-13,100fM,2,5,1919.7544192548246,1515.684485562762,964.2027447106955
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100fM_rep3_acc1.csv,sample,1e-13,100fM,3,1,2444.278607493783,2267.403833605742,1428.3332954094742
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100fM_rep3_acc2.csv,sample,1e-13,100fM,3,2,2202.797181348106,2451.4140459415903,1535.0788224046858
