peak_cm,method,model,A,B,n_points,sigma_blank_pre,sigma_blank_post,lod_pre_M,loq_pre_M,lod_post_M,loq_post_M
392.32,height,exp_on_log10,14126.47681751341,0.1422381434917439,13,55.70777062303637,112.63532432153056,6.387256814210077e-32,1.8612323386944986e-23,5.688680538555611e-27,1.6576687756324654e-18
1078.5,height,exp_on_log10,41566.77028025082,0.2763830493543256,13,124.24989673484106,162.58361661127302,8.778521366307317e-18,1.9934067096533402e-13,8.247793196411884e-17,1.8728901612819877e-12
1589.62,height,exp_on_log10,68197.56886723437,0.4445533733682544,13,64.42929538020145,139.9977845043613,6.379273005095323e-14,3.2587138531665385e-11,3.552010311669264e-12,1.8144677614489497e-09
