#Wavelength,#Intensity
2500.96948,24817
2499.694644,24817
2498.419564,24757
2497.144239,24898
2495.868669,24870
2494.592853,24726
2493.316793,24859
2492.040488,24855
2490.763938,24835
2489.487142,24848
2488.210101,24852
2486.932815,24724
2485.655283,24853
2484.377506,24766
2483.099484,24829
2481.821215,24788
2480.542701,24860
2479.263942,24480
2477.984937,25085
2476.705685,24767
2475.426188,24719
2474.146445,24808
2472.866456,24838
2471.586221,24756
2470.30574,24702
2469.025012,24827
2467.744038,24790
2466.462818,24840
2465.181352,24899
2463.899639,24969
2462.617679,24638
2461.335473,24574
2460.05302,24768
2458.77032,24653
2457.487374,24706
2456.204181,24853
2454.920741,24627
2453.637054,24847
2452.35312,24883
2451.068938,24769
2449.78451,24648
2448.499835,24527
2447.214912,24638
2445.929741,24737
2444.644324,24498
2443.358659,24751
2442.072746,24674
2440.786586,24512
2439.500178,24944
2438.213522,24666
2436.926618,24706
2435.639467,24701
2434.352068,24515
2433.064421,24726
2431.776525,24592
2430.488382,24730
2429.19999,24621
2427.91135,24528
2426.622462,24615
2425.333326,24559
2424.043941,24660
2422.754307,24571
2421.464425,24683
2420.174294,24465
2418.883915,24665
2417.593287,24566
2416.30241,24615
2415.011284,24539
2413.719909,24680
2412.428286,24644
2411.136413,24816
2409.844291,24873
2408.55192,24471
2407.259299,24701
2405.966429,24834
2404.67331,24645
2403.379942,24661
2402.086323,24698
2400.792456,24723
2399.498338,24556
2398.203971,24588
2396.909354,24533
2395.614488,24503
2394.319371,24665
2393.024004,24899
2391.728388,24605
2390.432521,24757
2389.136404,24598
2387.840037,24772
2386.543419,24801
2385.246552,24801
2383.949433,24802
2382.652065,25015
2381.354445,24630
2380.056576,24656
2378.758455,24706
2377.460084,24804
2376.161462,24855
2374.862589,24781
2373.563465,24643
2372.26409,24881
2370.964464,24786
2369.664587,24754
2368.364458,25082
2367.064079,24944
2365.763448,24624
2364.462566,24702
2363.161432,24963
2361.860046,24819
2360.55841,24422
2359.256521,24835
2357.954381,24793
2356.651989,24896
2355.349345,24654
2354.046449,24801
2352.743301,24919
2351.439902,24873
2350.13625,24545
2348.832346,25095
2347.528189,24803
2346.223781,25137
2344.91912,24739
2343.614206,24740
2342.30904,24615
2341.003622,24734
2339.697951,24732
2338.392027,24716
2337.08585,24636
2335.779421,24603
2334.472739,24763
2333.165803,24738
2331.858615,24733
2330.551174,24675
2329.243479,24835
2327.935532,24595
2326.627331,24710
2325.318876,24896
2324.010169,24609
2322.701207,24554
2321.391993,24695
2320.082524,24675.9037
2318.772802,24656.80369
2317.462826,24637.69999
2316.152597,24618.59258
2314.842113,24599.48147
2313.531376,24580.36666
2312.220385,24561.24815
2310.909139,24542.12593
2309.59764,24523
2308.285886,24621
2306.973878,24258
2305.661615,24560
2304.349098,24544
2303.036327,24529
2301.723301,24489
2300.410021,24512
2299.096486,24757
2297.782696,24704
2296.468652,24638
2295.154352,24574
2293.839798,24764
2292.524988,24569
2291.209924,24481
2289.894604,24639
2288.57903,24674
2287.2632,24445
2285.947114,24596
2284.630774,24528
2283.314177,24564
2281.997326,24520
