lineage,file,source_sha256,manifest_intensity_selector,source_intensity_column,record_id,sample_type,spectrum_points,positive_frequency_max_index,filter_fft_peak_index,normalized_cutoff,percentile,order,lock_basis
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep1_acc3.csv,e3207fb48c4a1e315bb2f9d054b281431771131ab53d71b1d2e41b161908b71b,1,Intensity,row00019__4ATP_100nM_rep1_acc3__Intensity,4atp,512,255,82,0.32156862745098042,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep1_acc4.csv,6b59b1865e6db51a1864404a9190ce2c86c0791214dc2ae1a451ee2f71c7d3b0,1,Intensity,row00020__4ATP_100nM_rep1_acc4__Intensity,4atp,512,255,80,0.31372549019607843,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep1_acc5.csv,603e73bc8479e208ea7e94e7f6db86cd1390deae7e7d008ff3030a7cba9ce8f6,1,Intensity,row00021__4ATP_100nM_rep1_acc5__Intensity,4atp,512,255,82,0.32156862745098042,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep2_acc1.csv,725fc0376c9197d12dd054cc0b19d9abb958351fb5d2b54b6e8b8441b8a78e2b,1,Intensity,row00022__4ATP_100nM_rep2_acc1__Intensity,4atp,512,255,200,0.78431372549019607,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep2_acc2.csv,779915021bda01b950189763574c6fc5ce85e6f91cc668fb43a04276ff1ba21a,1,Intensity,row00023__4ATP_100nM_rep2_acc2__Intensity,4atp,512,255,158,0.61960784313725492,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep2_acc3.csv,9fbdd909d3722a51024d2b02f2e3e0e987f33575272530c657d16ff2803c8e44,1,Intensity,row00024__4ATP_100nM_rep2_acc3__Intensity,4atp,512,255,179,0.70196078431372555,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep2_acc4.csv,3a620b959ac2752783a486eb6034927809dea9ed010d306e3bc58c1670ee6b8a,1,Intensity,row00025__4ATP_100nM_rep2_acc4__Intensity,4atp,512,255,141,0.55294117647058827,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep2_acc5.csv,423e45af1568c8676db562792acff421a352bca37ae8e594e35d79a91b0b1b6b,1,Intensity,row00026__4ATP_100nM_rep2_acc5__Intensity,4atp,512,255,179,0.70196078431372555,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep3_acc1.csv,4d7bf603d248f4373913398a0671aa906dd283632069953368c86688502a066d,1,Intensity,row00027__4ATP_100nM_rep3_acc1__Intensity,4atp,512,255,224,0.8784313725490196,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep3_acc2.csv,287852dc9d5e96f7c2b64fec7130e6c054543f966d517c13dfcf27304d6c38b1,1,Intensity,row00028__4ATP_100nM_rep3_acc2__Intensity,4atp,512,255,222,0.87058823529411766,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep3_acc3.csv,09ed767c0da70e630977bbc1a93630d9f8114ffb3b7424fc89bdd061d6723ac1,1,Intensity,row00029__4ATP_100nM_rep3_acc3__Intensity,4atp,512,255,185,0.72549019607843146,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep3_acc4.csv,dfe3e648f4844861b183ae41a0b9397f70ca3a68d02b00fcb7559f806af0fe79,1,Intensity,row00030__4ATP_100nM_rep3_acc4__Intensity,4atp,512,255,245,0.96078431372549022,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep3_acc5.csv,42d994581dd83f434494232a68cefea5d3cd1c1646e31a8138a77b91c4b3fd29,1,Intensity,row00031__4ATP_100nM_rep3_acc5__Intensity,4atp,512,255,251,0.98431372549019602,10,3,canonical Windows release first committed at 542aa21
